file_path,speaker,digit,take
datasets/fsdd/recordings/0_george_0.wav,george,0,0
datasets/fsdd/recordings/0_george_1.wav,george,0,1
datasets/fsdd/recordings/0_george_10.wav,george,0,10
datasets/fsdd/recordings/0_george_11.wav,george,0,11
datasets/fsdd/recordings/0_george_12.wav,george,0,12
datasets/fsdd/recordings/0_george_13.wav,george,0,13
datasets/fsdd/recordings/0_george_14.wav,george,0,14
datasets/fsdd/recordings/0_george_15.wav,george,0,15
datasets/fsdd/recordings/0_george_16.wav,george,0,16
datasets/fsdd/recordings/0_george_17.wav,george,0,17
datasets/fsdd/recordings/0_george_18.wav,george,0,18
datasets/fsdd/recordings/0_george_19.wav,george,0,19
datasets/fsdd/recordings/0_george_2.wav,george,0,2
datasets/fsdd/recordings/0_george_20.wav,george,0,20
datasets/fsdd/recordings/0_george_21.wav,george,0,21
datasets/fsdd/recordings/0_george_22.wav,george,0,22
datasets/fsdd/recordings/0_george_23.wav,george,0,23
datasets/fsdd/recordings/0_george_24.wav,george,0,24
datasets/fsdd/recordings/0_george_25.wav,george,0,25
datasets/fsdd/recordings/0_george_26.wav,george,0,26
datasets/fsdd/recordings/0_george_27.wav,george,0,27
datasets/fsdd/recordings/0_george_28.wav,george,0,28
datasets/fsdd/recordings/0_george_29.wav,george,0,29
datasets/fsdd/recordings/0_george_3.wav,george,0,3
datasets/fsdd/recordings/0_george_30.wav,george,0,30
datasets/fsdd/recordings/0_george_31.wav,george,0,31
datasets/fsdd/recordings/0_george_32.wav,george,0,32
datasets/fsdd/recordings/0_george_33.wav,george,0,33
datasets/fsdd/recordings/0_george_34.wav,george,0,34
datasets/fsdd/recordings/0_george_35.wav,george,0,35
datasets/fsdd/recordings/0_george_36.wav,george,0,36
datasets/fsdd/recordings/0_george_37.wav,george,0,37
datasets/fsdd/recordings/0_george_38.wav,george,0,38
datasets/fsdd/recordings/0_george_39.wav,george,0,39
datasets/fsdd/recordings/0_george_4.wav,george,0,4
datasets/fsdd/recordings/0_george_40.wav,george,0,40
datasets/fsdd/recordings/0_george_41.wav,george,0,41
datasets/fsdd/recordings/0_george_42.wav,george,0,42
datasets/fsdd/recordings/0_george_43.wav,george,0,43
datasets/fsdd/recordings/0_george_44.wav,george,0,44
datasets/fsdd/recordings/0_george_45.wav,george,0,45
datasets/fsdd/recordings/0_george_46.wav,george,0,46
datasets/fsdd/recordings/0_george_47.wav,george,0,47
datasets/fsdd/recordings/0_george_48.wav,george,0,48
datasets/fsdd/recordings/0_george_49.wav,george,0,49
datasets/fsdd/recordings/0_george_5.wav,george,0,5
datasets/fsdd/recordings/0_george_6.wav,george,0,6
datasets/fsdd/recordings/0_george_7.wav,george,0,7
datasets/fsdd/recordings/0_george_8.wav,george,0,8
datasets/fsdd/recordings/0_george_9.wav,george,0,9
datasets/fsdd/recordings/0_jackson_0.wav,jackson,0,0
datasets/fsdd/recordings/0_jackson_1.wav,jackson,0,1
datasets/fsdd/recordings/0_jackson_10.wav,jackson,0,10
datasets/fsdd/recordings/0_jackson_11.wav,jackson,0,11
datasets/fsdd/recordings/0_jackson_12.wav,jackson,0,12
datasets/fsdd/recordings/0_jackson_13.wav,jackson,0,13
datasets/fsdd/recordings/0_jackson_14.wav,jackson,0,14
datasets/fsdd/recordings/0_jackson_15.wav,jackson,0,15
datasets/fsdd/recordings/0_jackson_16.wav,jackson,0,16
datasets/fsdd/recordings/0_jackson_17.wav,jackson,0,17
datasets/fsdd/recordings/0_jackson_18.wav,jackson,0,18
datasets/fsdd/recordings/0_jackson_19.wav,jackson,0,19
datasets/fsdd/recordings/0_jackson_2.wav,jackson,0,2
datasets/fsdd/recordings/0_jackson_20.wav,jackson,0,20
datasets/fsdd/recordings/0_jackson_21.wav,jackson,0,21
datasets/fsdd/recordings/0_jackson_22.wav,jackson,0,22
datasets/fsdd/recordings/0_jackson_23.wav,jackson,0,23
datasets/fsdd/recordings/0_jackson_24.wav,jackson,0,24
datasets/fsdd/recordings/0_jackson_25.wav,jackson,0,25
datasets/fsdd/recordings/0_jackson_26.wav,jackson,0,26
datasets/fsdd/recordings/0_jackson_27.wav,jackson,0,27
datasets/fsdd/recordings/0_jackson_28.wav,jackson,0,28
datasets/fsdd/recordings/0_jackson_29.wav,jackson,0,29
datasets/fsdd/recordings/0_jackson_3.wav,jackson,0,3
datasets/fsdd/recordings/0_jackson_30.wav,jackson,0,30
datasets/fsdd/recordings/0_jackson_31.wav,jackson,0,31
datasets/fsdd/recordings/0_jackson_32.wav,jackson,0,32
datasets/fsdd/recordings/0_jackson_33.wav,jackson,0,33
datasets/fsdd/recordings/0_jackson_34.wav,jackson,0,34
datasets/fsdd/recordings/0_jackson_35.wav,jackson,0,35
datasets/fsdd/recordings/0_jackson_36.wav,jackson,0,36
datasets/fsdd/recordings/0_jackson_37.wav,jackson,0,37
datasets/fsdd/recordings/0_jackson_38.wav,jackson,0,38
datasets/fsdd/recordings/0_jackson_39.wav,jackson,0,39
datasets/fsdd/recordings/0_jackson_4.wav,jackson,0,4
datasets/fsdd/recordings/0_jackson_40.wav,jackson,0,40
datasets/fsdd/recordings/0_jackson_41.wav,jackson,0,41
datasets/fsdd/recordings/0_jackson_42.wav,jackson,0,42
datasets/fsdd/recordings/0_jackson_43.wav,jackson,0,43
datasets/fsdd/recordings/0_jackson_44.wav,jackson,0,44
datasets/fsdd/recordings/0_jackson_45.wav,jackson,0,45
datasets/fsdd/recordings/0_jackson_46.wav,jackson,0,46
