file_path,speaker,digit,take,preproc_path,emb_path
datasets/fsdd/recordings/0_george_0.wav,george,0,0,preprocessed/0_george_0_preproc.wav,embeddings/0_george_0_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_1.wav,george,0,1,preprocessed/0_george_1_preproc.wav,embeddings/0_george_1_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_10.wav,george,0,10,preprocessed/0_george_10_preproc.wav,embeddings/0_george_10_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_11.wav,george,0,11,preprocessed/0_george_11_preproc.wav,embeddings/0_george_11_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_12.wav,george,0,12,preprocessed/0_george_12_preproc.wav,embeddings/0_george_12_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_13.wav,george,0,13,preprocessed/0_george_13_preproc.wav,embeddings/0_george_13_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_14.wav,george,0,14,preprocessed/0_george_14_preproc.wav,embeddings/0_george_14_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_15.wav,george,0,15,preprocessed/0_george_15_preproc.wav,embeddings/0_george_15_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_16.wav,george,0,16,preprocessed/0_george_16_preproc.wav,embeddings/0_george_16_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_17.wav,george,0,17,preprocessed/0_george_17_preproc.wav,embeddings/0_george_17_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_18.wav,george,0,18,preprocessed/0_george_18_preproc.wav,embeddings/0_george_18_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_19.wav,george,0,19,preprocessed/0_george_19_preproc.wav,embeddings/0_george_19_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_2.wav,george,0,2,preprocessed/0_george_2_preproc.wav,embeddings/0_george_2_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_20.wav,george,0,20,preprocessed/0_george_20_preproc.wav,embeddings/0_george_20_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_21.wav,george,0,21,preprocessed/0_george_21_preproc.wav,embeddings/0_george_21_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_22.wav,george,0,22,preprocessed/0_george_22_preproc.wav,embeddings/0_george_22_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_23.wav,george,0,23,preprocessed/0_george_23_preproc.wav,embeddings/0_george_23_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_24.wav,george,0,24,preprocessed/0_george_24_preproc.wav,embeddings/0_george_24_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_25.wav,george,0,25,preprocessed/0_george_25_preproc.wav,embeddings/0_george_25_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_26.wav,george,0,26,preprocessed/0_george_26_preproc.wav,embeddings/0_george_26_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_27.wav,george,0,27,preprocessed/0_george_27_preproc.wav,embeddings/0_george_27_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_28.wav,george,0,28,preprocessed/0_george_28_preproc.wav,embeddings/0_george_28_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_29.wav,george,0,29,preprocessed/0_george_29_preproc.wav,embeddings/0_george_29_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_3.wav,george,0,3,preprocessed/0_george_3_preproc.wav,embeddings/0_george_3_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_30.wav,george,0,30,preprocessed/0_george_30_preproc.wav,embeddings/0_george_30_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_31.wav,george,0,31,preprocessed/0_george_31_preproc.wav,embeddings/0_george_31_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_32.wav,george,0,32,preprocessed/0_george_32_preproc.wav,embeddings/0_george_32_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_33.wav,george,0,33,preprocessed/0_george_33_preproc.wav,embeddings/0_george_33_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_34.wav,george,0,34,preprocessed/0_george_34_preproc.wav,embeddings/0_george_34_wav2vec_emb.npy
datasets/fsdd/recordings/0_george_35.wav,george,0,35,preprocessed/0_george_35_preproc.wav,embeddings/0_george_35_wav2vec_emb.npy
